Year,Cause Name,State,Deaths
2005,Stroke,Hawaii,688
2008,CLRD,New Hampshire,688
2011,Suicide,New Jersey,689
2013,Stroke,New Mexico,689
2001,Cancer,Alaska,689
2011,Influenza and pneumonia,Arizona,690
2016,Influenza and pneumonia,South Carolina,690
1999,Alzheimer's disease,South Carolina,690
2004,Diabetes,Kansas,690
2014,Unintentional injuries,Maine,690
1999,Diabetes,Connecticut,691
1999,Diabetes,Arkansas,691
2008,CLRD,Montana,691
2011,Diabetes,Connecticut,692
2012,Diabetes,Iowa,692
2012,Kidney disease,Mississippi,692
2002,Suicide,Missouri,693
2011,Suicide,Oklahoma,693
2005,Stroke,Maine,693
2008,Influenza and pneumonia,Connecticut,694
2003,Influenza and pneumonia,Kansas,694
1999,Influenza and pneumonia,Oregon,695
2011,Kidney disease,Minnesota,696
2013,Suicide,South Carolina,696
2011,Influenza and pneumonia,Connecticut,696
2009,Influenza and pneumonia,Connecticut,696
2004,Diabetes,Colorado,696
2003,Unintentional injuries,Nebraska,696
2007,Kidney disease,Mississippi,697
2004,Unintentional injuries,Utah,697
2013,Suicide,Oregon,698
2002,Influenza and pneumonia,Kansas,698
2000,Suicide,Missouri,699
2004,Kidney disease,Maryland,699
2016,Diabetes,Connecticut,699
2000,Influenza and pneumonia,South Carolina,699
2012,Unintentional injuries,Idaho,699
1999,Suicide,Missouri,700
2004,Diabetes,Iowa,700
2015,Influenza and pneumonia,Arkansas,700
2009,Kidney disease,Mississippi,700
2010,Unintentional injuries,Nebraska,700
2014,Influenza and pneumonia,Colorado,701
2013,Suicide,Kentucky,701
2014,Kidney disease,Mississippi,701
2009,Diabetes,Iowa,702
2007,Diabetes,Kansas,702
2003,Unintentional injuries,Utah,702
2013,Unintentional injuries,Nebraska,703
2008,CLRD,Idaho,703
2012,Kidney disease,Maryland,704
2004,Suicide,Indiana,704
2005,Unintentional injuries,Nebraska,704
2000,Cancer,Alaska,704
2009,Influenza and pneumonia,Arkansas,705
2015,CLRD,New Hampshire,705
1999,Alzheimer's disease,Iowa,706
2008,Diabetes,Kansas,706
2013,Heart disease,Alaska,706
2015,Kidney disease,Arkansas,707
2006,Diabetes,Mississippi,707
2010,Heart disease,Alaska,707
2003,Diabetes,Colorado,708
2012,Heart disease,Alaska,708
2001,Diabetes,Iowa,709
2007,Diabetes,Colorado,710
2014,Influenza and pneumonia,Arkansas,710
2005,Diabetes,Kansas,710
1999,Unintentional injuries,Nevada,710
2011,Unintentional injuries,Idaho,710
2001,Suicide,Tennessee,711
2006,Kidney disease,Minnesota,711
2011,Diabetes,Kansas,711
2001,Suicide,Washington,712
2000,Alzheimer's disease,Colorado,712
2004,Stroke,Idaho,712
2011,Kidney disease,Maryland,713
2000,Diabetes,Arkansas,714
2002,Unintentional injuries,Utah,714
2008,Unintentional injuries,Nebraska,714
2004,Stroke,Hawaii,714
2009,Heart disease,Alaska,714
2001,Suicide,Indiana,715
2004,Suicide,Missouri,715
2014,Suicide,Alabama,715
2013,Influenza and pneumonia,Kansas,715
2006,Unintentional injuries,Utah,715
2002,Stroke,New Mexico,715
2002,Cancer,Alaska,715
2014,Unintentional injuries,New Hampshire,716
2015,Influenza and pneumonia,Oklahoma,717
2005,CLRD,Idaho,717
2013,CLRD,Utah,718
2005,Stroke,Idaho,718
2010,Suicide,New Jersey,719
2005,Kidney disease,Tennessee,719
2016,Influenza and pneumonia,Louisiana,720
2000,Stroke,Idaho,720
2013,Suicide,Alabama,721
2010,Diabetes,Colorado,721
2001,Diabetes,Kansas,721
2005,Alzheimer's disease,Mississippi,721
2004,Stroke,New Mexico,721
2015,Suicide,Louisiana,722
2001,Suicide,Colorado,722
2016,Kidney disease,Arkansas,722
2016,CLRD,Montana,722
2012,Suicide,Wisconsin,723
2014,Influenza and pneumonia,Oklahoma,723
2007,Influenza and pneumonia,South Carolina,723
2008,Kidney disease,Mississippi,723
2009,Suicide,Wisconsin,724
2012,Suicide,Alabama,724
2012,Suicide,Kentucky,724
2006,Influenza and pneumonia,South Carolina,724
2012,Suicide,Oregon,724
2001,Suicide,Missouri,725
2009,CLRD,Idaho,725
2006,Stroke,Idaho,725
1999,Suicide,Tennessee,726
2012,Influenza and pneumonia,South Carolina,726
2009,Stroke,New Mexico,726
2000,Suicide,Washington,727
2005,Suicide,Missouri,727
2008,Influenza and pneumonia,South Carolina,727
2002,Suicide,Colorado,727
2005,Diabetes,Iowa,727
2003,Diabetes,Iowa,727
2016,Diabetes,Kansas,727
2011,Influenza and pneumonia,Arkansas,727
2011,Stroke,New Mexico,727
2010,CLRD,Idaho,727
2012,Influenza and pneumonia,Washington,728
2009,Influenza and pneumonia,Washington,728
2006,Alzheimer's disease,Connecticut,728
2014,Suicide,Kentucky,728
2003,Suicide,Colorado,728
1999,Alzheimer's disease,Kentucky,728
2007,CLRD,Maine,728
2004,Cancer,Alaska,728
2014,Influenza and pneumonia,Washington,729
2007,Suicide,Wisconsin,729
2001,Kidney disease,Minnesota,729
2000,Suicide,Tennessee,730
2015,Suicide,Minnesota,730
2006,Suicide,Colorado,730
2005,Influenza and pneumonia,Kansas,730
2000,Unintentional injuries,Nevada,730
2005,Stroke,New Mexico,730
2007,Kidney disease,Maryland,731
2015,Kidney disease,Mississippi,731
2013,Kidney disease,Mississippi,731
2005,Cancer,Alaska,732
2010,Diabetes,Iowa,733
2011,Influenza and pneumonia,Washington,734
2002,Diabetes,Iowa,734
2012,Influenza and pneumonia,Arkansas,734
2007,Influenza and pneumonia,Arkansas,734
1999,Diabetes,West Virginia,734
2001,Influenza and pneumonia,Arkansas,735
2015,Stroke,Hawaii,735
2003,Cancer,Alaska,735
2003,Suicide,Indiana,736
2014,Suicide,Oklahoma,736
2002,Stroke,Idaho,736
2013,Kidney disease,Maryland,737
2010,Kidney disease,Arkansas,737
2015,Influenza and pneumonia,Minnesota,738
2004,Influenza and pneumonia,Washington,738
2010,Kidney disease,Mississippi,738
2015,Alzheimer's disease,West Virginia,738
2009,Stroke,Utah,738
2001,Unintentional injuries,Nevada,739
2010,Stroke,Utah,739
2006,Stroke,New Mexico,739
2011,Heart disease,Alaska,739
1999,Influenza and pneumonia,Arkansas,741
2012,Diabetes,West Virginia,741
2015,Suicide,South Carolina,742
2013,Alzheimer's disease,Kansas,742
2007,Influenza and pneumonia,Washington,743
2002,Suicide,Indiana,743
2008,Suicide,Wisconsin,743
2008,Influenza and pneumonia,Kansas,743
2000,Influenza and pneumonia,Kansas,743
2006,Diabetes,West Virginia,743
2005,Unintentional injuries,Utah,743
2004,Unintentional injuries,Nebraska,743
2006,Alzheimer's disease,Mississippi,744
2005,Suicide,Indiana,745
2008,Influenza and pneumonia,Minnesota,745
2011,Suicide,Wisconsin,745
2016,Suicide,Minnesota,745
2009,Diabetes,West Virginia,746
2015,Unintentional injuries,Idaho,746
2013,Influenza and pneumonia,South Carolina,747
2010,Influenza and pneumonia,South Carolina,747
2013,Diabetes,Iowa,747
2000,Stroke,Hawaii,747
2008,Stroke,Utah,748
2007,Influenza and pneumonia,Iowa,749
2006,Diabetes,Kansas,749
2004,Influenza and pneumonia,Minnesota,750
2015,Suicide,Alabama,750
2014,Kidney disease,Maryland,751
2013,Influenza and pneumonia,Minnesota,751
2000,Kidney disease,Wisconsin,751
2014,Influenza and pneumonia,South Carolina,751
1999,CLRD,Maine,751
2005,Kidney disease,Maryland,752
2002,Influenza and pneumonia,Colorado,752
2003,Stroke,Hawaii,752
2014,Suicide,South Carolina,753
2015,Influenza and pneumonia,Louisiana,753
2005,Diabetes,Colorado,753
2008,Diabetes,West Virginia,753
2004,CLRD,New Mexico,753
2001,Influenza and pneumonia,South Carolina,754
2002,Alzheimer's disease,Oklahoma,754
2001,Influenza and pneumonia,Mississippi,754
2012,CLRD,Idaho,754
2002,Alzheimer's disease,Kansas,755
2007,Stroke,Utah,755
2016,Suicide,Kentucky,756
2000,Kidney disease,Kentucky,756
1999,Alzheimer's disease,Colorado,756
2001,Diabetes,Arkansas,756
2013,Suicide,New Jersey,757
2014,CLRD,Utah,757
2008,Diabetes,Mississippi,758
2003,Influenza and pneumonia,Mississippi,758
2009,Influenza and pneumonia,South Carolina,759
2013,Influenza and pneumonia,Oklahoma,759
2001,Diabetes,Connecticut,759
2004,Influenza and pneumonia,Arkansas,759
2000,Diabetes,West Virginia,759
2008,Stroke,New Mexico,760
2013,Influenza and pneumonia,Iowa,761
2003,Suicide,Tennessee,762
2015,Suicide,Oregon,762
2013,Kidney disease,Arkansas,762
2002,Unintentional injuries,Nebraska,762
2003,Stroke,Idaho,762
1999,Stroke,Hawaii,762
2016,Kidney disease,Mississippi,763
2014,Influenza and pneumonia,Mississippi,763
2007,Alzheimer's disease,Connecticut,764
2008,Diabetes,Iowa,764
2002,Diabetes,Kansas,765
2014,Unintentional injuries,Idaho,765
1999,Suicide,Arizona,766
2005,Diabetes,West Virginia,766
2004,CLRD,Maine,766
2001,Stroke,Hawaii,766
2006,Kidney disease,Maryland,767
2001,Suicide,Arizona,767
2008,Diabetes,Colorado,767
2004,Diabetes,Connecticut,767
2007,Diabetes,Iowa,767
2000,CLRD,New Mexico,767
2013,Influenza and pneumonia,Washington,768
2000,Suicide,Virginia,768
2010,Influenza and pneumonia,Arizona,768
2006,Kidney disease,Tennessee,768
2011,Influenza and pneumonia,South Carolina,768
2000,CLRD,Maine,768
2014,Suicide,Wisconsin,769
2000,Alzheimer's disease,Iowa,769
2004,Alzheimer's disease,Kansas,769
2013,Influenza and pneumonia,Mississippi,769
2006,Influenza and pneumonia,Iowa,770
2004,Influenza and pneumonia,South Carolina,770
2011,Diabetes,Iowa,770
2003,Stroke,New Mexico,770
2008,Influenza and pneumonia,Washington,771
2005,Influenza and pneumonia,South Carolina,771
1999,Stroke,Idaho,771
1999,Alzheimer's disease,Alabama,772
2016,Suicide,Oregon,772
2006,Influenza and pneumonia,Arkansas,772
2016,Unintentional injuries,Nebraska,772
2015,Influenza and pneumonia,Arizona,775
2008,Kidney disease,Maryland,775
2001,CLRD,New Mexico,775
2013,Influenza and pneumonia,Arizona,776
2015,Suicide,Kentucky,776
2007,Influenza and pneumonia,Connecticut,776
2002,Influenza and pneumonia,Arkansas,776
2010,Diabetes,West Virginia,776
2015,Stroke,Nebraska,776
2012,Stroke,Nebraska,776
2013,Unintentional injuries,Idaho,776
2005,Alzheimer's disease,Connecticut,777
2002,Suicide,Tennessee,778
2009,Alzheimer's disease,Connecticut,778
2010,Influenza and pneumonia,Oklahoma,778
2014,Influenza and pneumonia,Arizona,779
2008,Suicide,Missouri,779
2009,Diabetes,Colorado,779
2007,Kidney disease,Minnesota,780
2002,Kidney disease,South Carolina,781
2003,Alzheimer's disease,Kansas,781
2014,Unintentional injuries,Nebraska,781
2001,Stroke,Idaho,781
2014,Suicide,Oregon,782
2006,Diabetes,Connecticut,782
2011,Stroke,Utah,782
2003,CLRD,Maine,782
2014,Heart disease,Alaska,782
2006,Alzheimer's disease,Arkansas,783
2006,CLRD,Maine,783
2000,Suicide,Arizona,784
2015,Diabetes,West Virginia,784
2016,Influenza and pneumonia,Mississippi,785
2014,Suicide,New Jersey,786
2016,Alzheimer's disease,West Virginia,786
2015,Stroke,New Mexico,786
2011,Kidney disease,Arkansas,787
2016,Stroke,Nebraska,787
2013,Diabetes,Colorado,788
2016,Suicide,Alabama,788
2015,Suicide,New Jersey,789
2012,Alzheimer's disease,Kansas,789
2007,Suicide,Indiana,790
2011,Diabetes,Colorado,790
2015,Suicide,Oklahoma,790
2014,Alzheimer's disease,Kansas,790
2011,Diabetes,West Virginia,790
2004,Stroke,Utah,790
2006,Cancer,Alaska,790
1999,Suicide,Virginia,791
2001,Kidney disease,Wisconsin,791
2015,Influenza and pneumonia,Mississippi,791
2002,CLRD,Maine,791
2004,Suicide,Tennessee,792
2012,Unintentional injuries,Nebraska,792
2010,Suicide,Wisconsin,793
2002,Diabetes,Arkansas,793
2003,Alzheimer's disease,Oklahoma,794
2013,Influenza and pneumonia,Arkansas,794
2005,Stroke,Utah,794
2008,CLRD,Maine,794
2011,Alzheimer's disease,Kansas,795
2010,Stroke,Nevada,796
2001,Suicide,Virginia,797
2012,Diabetes,Colorado,797
2004,Suicide,Colorado,797
2003,Kidney disease,South Carolina,797
2007,Alzheimer's disease,Mississippi,797
2000,Influenza and pneumonia,Arkansas,798
2014,Stroke,Nebraska,798
1999,Unintentional injuries,West Virginia,798
2002,Suicide,Virginia,799
2006,Suicide,Missouri,799
2015,Unintentional injuries,Nebraska,799
2005,Suicide,Colorado,800
2006,Influenza and pneumonia,Connecticut,800
2007,Diabetes,West Virginia,800
2001,CLRD,Maine,800
2007,Influenza and pneumonia,Oklahoma,801
2002,Influenza and pneumonia,Mississippi,801
1999,Influenza and pneumonia,Mississippi,801
2004,Stroke,Maine,801
2011,Kidney disease,South Carolina,802
2009,Alzheimer's disease,Kansas,802
2001,Diabetes,West Virginia,802
2003,Stroke,Maine,802
2015,Unintentional injuries,Maine,802
2003,Suicide,Washington,803
2010,Kidney disease,Maryland,803
2009,Kidney disease,Maryland,803
2008,Suicide,Colorado,803
2006,Diabetes,Iowa,804
2007,Stroke,New Mexico,804
2007,Kidney disease,South Carolina,806
2010,Stroke,New Mexico,806
2009,Kidney disease,Minnesota,807
2001,Kidney disease,Kentucky,807
1999,Influenza and pneumonia,Colorado,807
2003,Diabetes,West Virginia,807
2003,Suicide,Virginia,808
2007,Suicide,Missouri,808
2012,Influenza and pneumonia,Louisiana,808
2013,CLRD,Idaho,808
2006,Suicide,Washington,809
2008,Suicide,Indiana,809
2000,Influenza and pneumonia,Mississippi,809
2012,Stroke,Utah,809
2010,CLRD,Maine,809
2011,Kidney disease,Tennessee,810
2004,Influenza and pneumonia,Oklahoma,810
2003,Influenza and pneumonia,Colorado,810
2011,Stroke,Nebraska,810
2002,Suicide,Washington,811
2007,Suicide,Colorado,811
2000,Alzheimer's disease,Maryland,811
2005,Diabetes,Connecticut,811
2000,Alzheimer's disease,Louisiana,811
2015,CLRD,Utah,811
2007,Unintentional injuries,Utah,811
2002,Stroke,Hawaii,812
2008,Kidney disease,Minnesota,813
2011,Alzheimer's disease,Connecticut,813
2002,Kidney disease,Kentucky,813
2000,Stroke,New Mexico,813
2006,Influenza and pneumonia,Washington,814
2016,Influenza and pneumonia,Washington,815
2016,Suicide,South Carolina,815
2004,CLRD,Nebraska,815
2015,Unintentional injuries,New Hampshire,815
1999,Suicide,Washington,816
2000,Unintentional injuries,West Virginia,817
2012,CLRD,Maine,817
1999,Stroke,New Mexico,817
2004,Kidney disease,South Carolina,818
2014,Diabetes,West Virginia,818
2014,CLRD,Idaho,819
2010,Alzheimer's disease,Connecticut,820
2013,Stroke,Nebraska,820
2009,CLRD,Maine,821
2005,Suicide,Washington,822
2016,Suicide,Oklahoma,822
2014,Stroke,New Mexico,822
2001,Stroke,Maine,822
2016,Kidney disease,Maryland,823
2005,Kidney disease,South Carolina,823
2002,Stroke,Maine,823
2006,Suicide,Indiana,824
2013,Alzheimer's disease,Connecticut,824
2007,Alzheimer's disease,Arkansas,824
2005,Diabetes,Arkansas,824
2001,Stroke,New Mexico,824
2011,CLRD,Idaho,824
2010,Alzheimer's disease,Kansas,825
2004,Kidney disease,Kentucky,827
2004,Suicide,Virginia,828
2009,Suicide,Indiana,828
2001,Influenza and pneumonia,Minnesota,828
2014,Diabetes,Arkansas,828
2008,Influenza and pneumonia,Iowa,829
2004,Suicide,Washington,830
2006,Alzheimer's disease,Kansas,830
2005,CLRD,Maine,830
2007,Kidney disease,Tennessee,831
2016,Heart disease,Alaska,831
2006,Influenza and pneumonia,Louisiana,833
2012,Diabetes,Arkansas,833
2000,Stroke,Maine,833
2015,Kidney disease,Maryland,834
2001,Unintentional injuries,West Virginia,834
2014,Diabetes,Colorado,835
2013,Diabetes,Arkansas,835
2013,Stroke,Utah,836
2014,Kidney disease,South Carolina,837
2003,Kidney disease,Kentucky,838
2007,Diabetes,Arkansas,838
2004,Diabetes,Arkansas,838
2000,CLRD,Nebraska,838
2008,Alzheimer's disease,Connecticut,839
2006,Diabetes,Arkansas,839
2007,Cancer,Alaska,839
2003,Suicide,Arizona,840
2004,Diabetes,West Virginia,840
2013,Diabetes,West Virginia,841
2012,Alzheimer's disease,Connecticut,842
2011,CLRD,Maine,842
2015,CLRD,Idaho,843
2007,Suicide,Tennessee,844
2000,Diabetes,Oregon,844
2000,Influenza and pneumonia,Minnesota,845
2000,Alzheimer's disease,Kentucky,845
2005,Influenza and pneumonia,Minnesota,846
2006,Kidney disease,South Carolina,846
2008,Influenza and pneumonia,Arkansas,846
2002,Diabetes,West Virginia,846
2015,Heart disease,Alaska,846
2000,Suicide,Georgia,847
2016,Diabetes,Iowa,847
2006,Stroke,Nevada,847
2015,Influenza and pneumonia,South Carolina,848
1999,CLRD,New Mexico,848
2016,Unintentional injuries,Idaho,849
2013,Suicide,Wisconsin,850
2010,Diabetes,Arkansas,850
2007,Stroke,Nevada,850
2015,Influenza and pneumonia,Washington,851
2011,Influenza and pneumonia,Louisiana,851
2002,Kidney disease,Wisconsin,852
2001,Alzheimer's disease,Colorado,852
2014,Influenza and pneumonia,Louisiana,854
2001,Influenza and pneumonia,Connecticut,854
2016,Alzheimer's disease,Kansas,855
2005,CLRD,New Mexico,855
2010,Suicide,Missouri,856
2005,Suicide,Tennessee,856
2014,Stroke,Utah,856
2009,Stroke,Nebraska,857
2002,CLRD,New Mexico,857
2003,Influenza and pneumonia,Minnesota,858
2009,Stroke,Nevada,859
2002,Cancer,Wyoming,859
2009,Suicide,Missouri,860
2012,Kidney disease,South Carolina,860
2003,Influenza and pneumonia,Connecticut,860
1999,Diabetes,Oregon,860
2007,Alzheimer's disease,Kansas,860
2016,Diabetes,West Virginia,860
2002,Unintentional injuries,Nevada,860
2011,Influenza and pneumonia,Oklahoma,863
2001,Alzheimer's disease,Iowa,863
2008,Stroke,Nebraska,863
2010,Suicide,Indiana,864
2007,Suicide,Washington,865
2010,Suicide,Colorado,865
2003,Alzheimer's disease,Maryland,865
2015,Alzheimer's disease,Kansas,865
2016,CLRD,Idaho,865
2005,Suicide,Virginia,866
2016,Suicide,Wisconsin,866
2002,Alzheimer's disease,Maryland,866
1999,Alzheimer's disease,Oregon,866
2004,Alzheimer's disease,Oklahoma,867
2008,Cancer,Alaska,867
2004,Influenza and pneumonia,Connecticut,868
2000,Cancer,Wyoming,868
2013,Kidney disease,South Carolina,869
1999,Stroke,Utah,869
2007,Influenza and pneumonia,Louisiana,870
2001,Stroke,Utah,870
2000,Stroke,Nevada,872
1999,Suicide,Georgia,873
2003,Kidney disease,Wisconsin,873
2006,Suicide,Tennessee,874
2000,Alzheimer's disease,South Carolina,874
2015,Alzheimer's disease,Nevada,874
2008,Cancer,Wyoming,874
2016,CLRD,Utah,875
2004,Cancer,Wyoming,875
2006,Suicide,Virginia,876
2010,Stroke,Nebraska,876
2003,Stroke,Utah,876
2015,Suicide,Wisconsin,877
2001,Influenza and pneumonia,Iowa,877
2010,Influenza and pneumonia,Louisiana,878
2006,CLRD,Nebraska,878
2012,Influenza and pneumonia,Kentucky,879
2009,Influenza and pneumonia,Oklahoma,879
2006,Influenza and pneumonia,Oklahoma,879
1999,Stroke,Maine,879
2007,Suicide,Virginia,880
2004,Suicide,Arizona,880
2011,Suicide,Indiana,881
2007,Alzheimer's disease,Maryland,881
2001,Alzheimer's disease,South Carolina,881
2008,Unintentional injuries,Utah,881
2001,CLRD,Nebraska,882
1999,Stroke,Nevada,882
1999,Influenza and pneumonia,South Carolina,883
1999,Suicide,North Carolina,884
2003,Diabetes,Arkansas,884
2007,CLRD,New Mexico,884
2010,Cancer,Alaska,884
2016,Influenza and pneumonia,Arizona,885
1999,Influenza and pneumonia,Connecticut,885
2000,Influenza and pneumonia,Oklahoma,885
2009,Alzheimer's disease,Arkansas,885
2016,Stroke,New Mexico,885
2015,Kidney disease,South Carolina,886
2002,Suicide,Arizona,886
2015,Diabetes,Arkansas,886
2005,Influenza and pneumonia,Arkansas,886
2005,Cancer,Wyoming,886
2015,Diabetes,Colorado,887
2003,Alzheimer's disease,Iowa,887
2016,Influenza and pneumonia,Wisconsin,888
2016,Influenza and pneumonia,Kentucky,888
2002,Influenza and pneumonia,Connecticut,888
2015,Stroke,Utah,888
2006,CLRD,New Mexico,888
2008,Suicide,Washington,889
2011,Stroke,Nevada,889
2000,Influenza and pneumonia,Connecticut,890
2004,Influenza and pneumonia,Iowa,890
2009,Diabetes,Arkansas,890
2009,Influenza and pneumonia,Louisiana,891
2013,Influenza and pneumonia,Louisiana,892
2009,Kidney disease,South Carolina,893
2008,Alzheimer's disease,Arkansas,893
2008,Influenza and pneumonia,Louisiana,894
2003,CLRD,Nebraska,894
2000,Alzheimer's disease,Alabama,895
2009,Cancer,Alaska,895
2005,Influenza and pneumonia,Iowa,896
2014,CLRD,Maine,896
2010,Kidney disease,Minnesota,897
2016,Kidney disease,South Carolina,897
2007,Influenza and pneumonia,Kentucky,897
2012,Stroke,Nevada,897
2007,Influenza and pneumonia,Alabama,898
2002,Alzheimer's disease,Iowa,899
2003,Alzheimer's disease,Colorado,899
2009,Unintentional injuries,Utah,899
1999,Cancer,Wyoming,899
2002,Influenza and pneumonia,Minnesota,900
2009,Diabetes,Mississippi,900
2009,Alzheimer's disease,Mississippi,900
2008,Diabetes,Arkansas,901
2013,CLRD,Maine,902
2002,Stroke,Utah,903
2010,Influenza and pneumonia,Wisconsin,904
2016,Alzheimer's disease,Utah,904
2007,Influenza and pneumonia,Arizona,905
2004,Alzheimer's disease,Maryland,905
2013,Stroke,Nevada,905
2012,Alzheimer's disease,Maryland,906
2015,Alzheimer's disease,Utah,906
2008,Stroke,Nevada,906
2000,Kidney disease,Missouri,907
1999,Kidney disease,Missouri,907
2002,Influenza and pneumonia,Washington,907
2003,Influenza and pneumonia,South Carolina,907
2008,Kidney disease,Tennessee,908
2011,Diabetes,Arkansas,908
2002,Suicide,Georgia,909
2016,Unintentional injuries,Maine,909
2002,Influenza and pneumonia,South Carolina,910
2000,Alzheimer's disease,Oregon,910
1999,Kidney disease,Louisiana,911
2003,Unintentional injuries,Nevada,911
2008,Influenza and pneumonia,Alabama,912
2005,Kidney disease,Kentucky,912
2004,Alzheimer's disease,Colorado,912
2005,Alzheimer's disease,Kansas,912
2011,Suicide,Colorado,913
2004,Influenza and pneumonia,Louisiana,913
2001,Influenza and pneumonia,Oklahoma,913
2001,Stroke,Nevada,913
2012,Suicide,Missouri,914
1999,Alzheimer's disease,Missouri,914
2002,Influenza and pneumonia,Oklahoma,914
2006,Alzheimer's disease,Maryland,915
2003,Influenza and pneumonia,Louisiana,915
2008,Alzheimer's disease,Mississippi,916
1999,Alzheimer's disease,Virginia,917
2006,Influenza and pneumonia,Alabama,918
2013,Alzheimer's disease,Arkansas,918
2013,Alzheimer's disease,Maryland,919
2013,Influenza and pneumonia,Kentucky,919
2007,CLRD,Nebraska,919
2000,Kidney disease,Louisiana,920
2016,Diabetes,Arkansas,920
2009,Suicide,Washington,921
2003,Influenza and pneumonia,Arkansas,921
2007,Stroke,Nebraska,921
2011,Alzheimer's disease,Maryland,922
2006,Kidney disease,Kentucky,922
2006,Stroke,Nebraska,922
2014,Cancer,Wyoming,922
2006,Suicide,Georgia,923
2014,Alzheimer's disease,Connecticut,923
2012,Alzheimer's disease,Mississippi,923
2001,Cancer,Wyoming,923
2005,Suicide,Georgia,924
2016,Unintentional injuries,New Hampshire,924
2004,Kidney disease,Wisconsin,925
2010,Influenza and pneumonia,Maryland,925
2013,Alzheimer's disease,Mississippi,925
2012,Cancer,Alaska,925
2010,Diabetes,Mississippi,926
2011,Heart disease,Wyoming,926
2005,Influenza and pneumonia,Washington,927
2006,Influenza and pneumonia,Kentucky,927
2007,Alzheimer's disease,Oklahoma,927
2010,Alzheimer's disease,Mississippi,927
2006,Cancer,Wyoming,927
2001,Influenza and pneumonia,Maryland,928
2006,Alzheimer's disease,Oklahoma,928
2016,CLRD,Maine,928
2005,Kidney disease,Wisconsin,930
2012,Alzheimer's disease,Arkansas,931
2015,Cancer,Wyoming,931
2016,Stroke,Utah,932
2012,Kidney disease,Tennessee,933
2011,Suicide,Missouri,933
2012,Kidney disease,Kentucky,933
2014,Alzheimer's disease,Maryland,934
2002,CLRD,Nebraska,934
2001,Suicide,Georgia,935
2011,Cancer,Alaska,935
2003,CLRD,New Mexico,936
2011,Cancer,Wyoming,936
2009,Cancer,Wyoming,936
2009,Alzheimer's disease,Maryland,937
2000,Influenza and pneumonia,Iowa,937
2008,Heart disease,Wyoming,937
2016,Diabetes,Colorado,938
2008,Influenza and pneumonia,Oklahoma,938
2000,Kidney disease,Alabama,939
2013,Heart disease,Wyoming,939
2012,Suicide,Indiana,940
2005,Unintentional injuries,West Virginia,940
2007,Cancer,Wyoming,940
2009,Suicide,Colorado,941
2001,Influenza and pneumonia,Louisiana,941
2012,Influenza and pneumonia,Alabama,942
2010,Influenza and pneumonia,Alabama,942
2002,Influenza and pneumonia,Iowa,942
2009,Unintentional injuries,West Virginia,942
2010,Suicide,Tennessee,943
2010,Influenza and pneumonia,Kentucky,943
2008,Influenza and pneumonia,Kentucky,943
2003,Cancer,Wyoming,943
2013,Suicide,Indiana,944
1999,Alzheimer's disease,Tennessee,944
2005,Suicide,Arizona,945
2008,Kidney disease,South Carolina,945
2009,Kidney disease,Kentucky,945
2005,Stroke,Nevada,945
1999,CLRD,Nebraska,945
2013,Cancer,Wyoming,946
2009,Suicide,Tennessee,947
2008,Suicide,Virginia,948
2014,Suicide,Indiana,948
2001,Alzheimer's disease,Maryland,948
2005,Influenza and pneumonia,Oklahoma,948
2014,Stroke,Nevada,948
2009,Kidney disease,Tennessee,949
2003,Influenza and pneumonia,Oklahoma,949
2005,CLRD,Nebraska,949
2004,Heart disease,Wyoming,950
2011,Influenza and pneumonia,Alabama,951
2009,Influenza and pneumonia,Alabama,952
2005,Heart disease,Wyoming,952
2002,Alzheimer's disease,Colorado,954
2003,Suicide,North Carolina,955
2011,Suicide,Tennessee,955
2010,Alzheimer's disease,Arkansas,955
2012,Cancer,Wyoming,955
2005,Influenza and pneumonia,Connecticut,956
2002,Influenza and pneumonia,Louisiana,956
2002,Unintentional injuries,West Virginia,956
2010,Suicide,Washington,957
2001,Alzheimer's disease,Louisiana,957
2007,Heart disease,Wyoming,957
2005,Alzheimer's disease,Maryland,958
2016,Kidney disease,Wisconsin,960
2015,Suicide,Indiana,960
2013,Suicide,Missouri,960
2011,Influenza and pneumonia,Kentucky,961
2008,Alzheimer's disease,Kansas,961
2016,Influenza and pneumonia,Indiana,962
2006,Kidney disease,Wisconsin,962
2016,Cancer,Wyoming,962
2010,Heart disease,Wyoming,962
2010,Suicide,Virginia,963
2009,Suicide,Virginia,963
2010,Kidney disease,South Carolina,963
1999,Alzheimer's disease,Arizona,963
2009,Heart disease,Wyoming,964
2001,Influenza and pneumonia,Washington,965
2004,Influenza and pneumonia,Kentucky,965
2012,CLRD,New Mexico,965
2015,Alzheimer's disease,Connecticut,966
2001,Alzheimer's disease,Kentucky,966
2015,Influenza and pneumonia,Kentucky,967
2002,Alzheimer's disease,South Carolina,967
2014,Kidney disease,Kentucky,968
2004,Alzheimer's disease,Iowa,968
1999,Unintentional injuries,New Mexico,969
2010,Unintentional injuries,Utah,970
2000,Suicide,North Carolina,971
2011,Kidney disease,Kentucky,971
2003,Suicide,Georgia,972
2008,Suicide,Arizona,972
2000,Influenza and pneumonia,Louisiana,972
2014,Cancer,Alaska,972
2004,Suicide,Georgia,973
2012,Influenza and pneumonia,Indiana,973
2008,Suicide,Tennessee,973
2000,Suicide,Michigan,974
1999,Suicide,Michigan,974
2001,Kidney disease,Alabama,974
2011,Alzheimer's disease,Mississippi,975
